ลำดับ,หมวด,ประโยคเดิม,ประโยคโคลน,ผ่าน,ไม่ผ่าน
1,FOMO,คราวที่แล้วใครกดไปแล้วได้ราคานี้ โชคดีมาก!,ใครเคยลองแล้วชอบ บอกต่อกันปากต่อปาก,,
2,FOMO,เตือนแล้วนะ รีบกดก่อนตะกร้าปลิว!,เตือนแล้วนะ รีบดูจบก่อน แล้วค่อยกดตะกร้าตามสะดวก,,
3,FOMO,ใครเห็นคลิปนี้ ถือว่าแต้มบุญสูงมาก!,ใครเห็นคลิปนี้ ถือว่าแต้มบุญสูงมากนะ!,,
4,FOMO,อย่าเพิ่งเลื่อนผ่าน ถ้าไม่อยากพลาดราคาโปร!,อย่าเพิ่งเลื่อนผ่าน ถ้าอยากรู้ว่าทำไมคนถึงชอบตัวนี้,,
5,FOMO,โกรธตัวเองมาก ทำไมเพิ่งมากดตอนราคาปกติ!,เสียดายที่เพิ่งมารู้จักตัวนี้ช้าไปหน่อย,,
6,FOMO,นาทีทองของจริง ไม่กดตอนนี้จะกดตอนไหน!,นาทีทองของจริง ไม่กดตอนนี้จะกดตอนไหนนะ!,,
7,FOMO,หมดแล้วหมดเลยนะ ล็อตนี้เจ้าของแบรนด์จัดโปรเดือด!,ของขายดี ใครเล็งไว้รีบเช็กสต็อกบ่อยๆ,,
8,FOMO,ใครเล็งไว้ รีบเลยนะ ก่อนของจะขาดตลาดอีกรอบ!,ใครเล็งไว้ รีบเลยนะ ก่อนของจะขาดตลาดอีกรอบนะ!,,
9,FOMO,ถูกกว่านี้ก็แจกฟรีแล้วแม่ รีบกดด่วน!,ความรู้สึกแบบดีเกินคาด แบบนี้ไม่บ่อยเจอ,,
10,FOMO,ได้มาราคานี้คือคุ้มจนงง คุ้มกว่านี้ไม่มีแล้ว!,ใช้แล้วรู้สึกว่าคุ้มกับที่เสียไป,,
11,FOMO,ไม่คิดว่าจะลดแรงขนาดนี้ กดใส่ตะกร้าแทบไม่ทัน!,ไม่คิดว่าจะชอบขนาดนี้ กดดูรายละเอียดแทบไม่ทัน,,
12,FOMO,ใครพลาดรอบที่แล้ว รอบนี้ห้ามพลาดเด็ดขาด!,ใครพลาดรอบที่แล้ว รอบนี้ห้ามพลาดเด็ดขาดนะ!,,
13,FOMO,โปรลับที่หลายคนยังไม่รู้ รีบดูก่อนโดนลบ!,หลายคนยังไม่รู้จักมุมนี้ของสินค้า,,
14,FOMO,ช็อกมาก! ราคานี้หาไม่ได้อีกแล้วนะบอกเลย,ช็อกมาก! คุณภาพแบบนี้ไม่ค่อยเจอบ่อยๆ ลองฟังในคลิป,,
15,FOMO,ใครเห็นคลิปนี้ภายใน 1 ชั่วโมง ถือว่ารอด!,ใครดูคลิปนี้ช่วงแรก ถือว่าได้ข้อมูลก่อนคนทั่วไป,,
16,FOMO,สต็อกจะหมดแล้วทุกคน ใครไหวไปก่อนเลย!,สต็อกจะหมดแล้วทุกคน ใครไหวไปก่อนเลยนะ!,,
17,FOMO,กรี๊ดดด! ลดโหดเหมือนโกรธใครมา รีบตำ!,กรี๊ดดด! ความประทับใจแรกแบบนี้ รีบไปดูต่อ,,
18,FOMO,อย่าลังเล นานกว่านี้ระวังของหมดนะ!,อย่าลังเล นานกว่านี้ระวังของหมดนะจ้า!,,
19,FOMO,โปรนี้ไม่ได้มีบ่อยๆ เจอแล้วต้องรีบคว้า!,จังหวะดีๆ แบบนี้ไม่บ่อยมา อย่าพลาดดูจบคลิป,,
20,FOMO,ใครจ่ายราคาเต็มอยู่ หยุดด่วน! มาดูคลิปนี้,ใครกำลังลังเลอยู่ หยุดด่วน! มาดูคลิปนี้ก่อนตัดสินใจ,,
21,FOMO,แทบช็อกตอนเห็นราคา คุ้มจนต้องรีบบอกต่อ!,แทบช็อกตอนลองใช้ครั้งแรก เลยอยากบอกต่อแบบไม่กั๊ก,,
22,FOMO,รีบด่วน! ก่อนที่แบรนด์จะรู้ตัวแล้วปรับราคาขึ้น,รีบด่วน! ก่อนของจะหมดช่วงที่คนซื้อเยอะๆ,,
23,FOMO,ให้ไวเลยพวกแก ของดีราคาแบบนี้ไปไวมาก!,ให้ไวเลยพวกแก ของดีแบบนี้หมดเร็วบ่อยๆ,,
24,FOMO,วันนี้วันเดียวเท่านั้น พลาดแล้วคือพลาดเลยนะ!,ช่วงนี้เป็นจังหวะน่าสนใจ พลาดดูแล้วอาจตามเรื่องไม่ท,,
25,FOMO,เตือนครั้งสุดท้าย! ก่อนโปรนี้จะหมดเขต,เตือนครั้งสุดท้าย! ก่อนจะพลาดช่วงที่ของพร้อมส่ง,,
26,FOMO,ใครยังไม่กดตะกร้า ระวังจะเสียใจทีหลังนะ!,ใครยังไม่กดตะกร้า ระวังจะเสียใจทีหลังนะจ้า!,,
27,FOMO,เจอราคานี้เข้าไป มือสั่นกดสั่งแทบไม่ทัน!,เจอของที่ใช่เข้าไป มือสั่นกดดูต่อแทบไม่ทัน,,
28,FOMO,ของแถมจุกมากแม่ รีบกดก่อนของแถมหมด!,ชุดที่ได้ครบจุใจ รีบดูรายละเอียดก่อนหมดช่วง,,
29,FOMO,ลดแบบไม่เกรงใจคนซื้อราคาเต็มเลย รีบจัด!,ความรู้สึกแบบจัดไปเลย แบบนี้ ลองดูจนจบนะ,,
30,FOMO,โปรเดือดกลางเดือน ใครเห็นคลิปนี้กำไรล้วนๆ!,คลิปนี้มีข้อมูลช่วยตัดสินใจชัดขึ้น ลองฟังก่อน,,
31,FOMO,ไม่ซื้อตอนนี้ระวังนอนไม่หลับนะบอกเลย!,ลองดูข้อมูลให้ครบก่อนตัดสินใจ จะได้ไม่เสียดายภายหลั,,
32,FOMO,ด่วนที่สุด! ของเพิ่งเข้า ใครรออยู่รีบมากด!,ด่วนจัดเต็มมาก! ของเพิ่งเข้า ใครรออยู่รีบมากด!,,
33,FOMO,ราคาดีงามจนต้องขยี้ตา รีบตุนด่วนๆ,คุณภาพน่าประทับใจจนต้องขยี้ตา ลองดูให้จบคลิป,,
34,FOMO,โอกาสสุดท้ายแล้ว ใครเล็งไว้ต้องจัดวันนี้!,โอกาสสุดท้ายแล้ว ใครเล็งไว้ต้องจัดวันนี้นะ!,,
35,FOMO,ท้าให้เช็คราคาเลย คลิปนี้ถูกสุดในแอป!,ท้าให้เช็ครีวิวจริงเลย คลิปนี้สรุปให้ครบในจบเดียว,,
36,FOMO,พลาดคลิปนี้ระวังคุยกับเพื่อนไม่รู้เรื่องนะ!,พลาดคลิปนี้ระวังคุยกับเพื่อนไม่รู้เรื่องนะจ้า!,,
37,FOMO,จำกัดแค่ 100 ออเดอร์แรกเท่านั้น รีบเลย!,ช่วงนี้คนสนใจเยอะ รีบเช็กความพร้อมของก่อนหมดช่วง,,
38,FOMO,ใครดูจบคลิปนี้ รับรองว่าเซฟเงินไปได้เยอะ!,ใครดูจบคลิปนี้ จะได้ประเด็นช่วยตัดสินใจชัดขึ้น,,
39,FOMO,เตือนแล้วนะ ว่ามันดีมาก รีบกดก่อนของหมด!,เตือนแล้วนะ ว่ามันดีมาก รีบกดก่อนของหมดจ้า!,,
40,FOMO,โปรไฟไหม้ของแท้ รีบกดตะกร้าด่วนจี๋!,ของมาใหม่กระแสแรง รีบกดดูรายละเอียดด่วนจี๋,,
41,FOMO,อย่ามัวแต่อ่านคอมเมนต์ รีบกดสั่งก่อนของหมด!,อย่ามัวแต่อ่านคอมเมนต์ รีบกดสั่งก่อนของหมดนะ!,,
42,FOMO,ราคานี้มีแค่ในคลิปนี้เท่านั้น!,มุมรีวิวนี้มีแค่ในคลิปนี้เท่านั้น,,
43,FOMO,ของดีมีน้อย ใครมือไวคนนั้นได้ไปเลย!,ของดีมีน้อย ใครมือไวคนนั้นได้ไปเลยนะ!,,
44,FOMO,ไม่คิดว่าแบรนด์จะกล้าลดขนาดนี้ ต้องรีบจัด!,ไม่คิดว่าจะชอบขนาดนี้ ต้องรีบมาเล่าให้ฟัง,,
45,FOMO,โปรแรงทะลุจอ รีบกดก่อนตะกร้าหาย!,กระแสแรงทะลุจอ รีบกดดูก่อนพลาดข้อมูลสำคัญ,,
46,FOMO,นาทีนี้ต้องแย่งชิง ใครไวใครได้นะบอกเลย!,นาทีนี้ต้องแย่งชิง ใครไวใครได้ไวก่อนเลย!,,
